"Number of tokens" File
14 EDH_000f2ff2c328360c5500661b65a9975f.txt
14 EDR_00098dca7a69594ea74c7cce522e82ac.txt
14 EDR_0018dc1733f8e25e7132a7fd324e957d.txt
14 EDR_001a5afbd8a90521d76add01f1f6ad75.txt
14 ELTE_03e2e63c5e557f6b7b0aa9a5f22bf274.txt
14 RIB_01894d6f048493d2cacde3c579c315a3.txt
14 RIB_0245952ecff55018e2a459517fdb40e3.txt
14 RIB_03255088ed63354a54e0e5ed957e9008.txt
14 SAZU_0c6436d81ae82b0203d9292e65961878.txt
14 UNIPU_01d8fabfa06c7f2dffea7ce1d9f73b7b.txt
14 UNIPU_04ee764c9a1577da438bdce90bd3cd11.txt
14 UNIPU_06cc5ca9a4ddc47e5d88d56f3874eb25.txt
14 VND_01386bd6d8e091c2ab4c7c7de644d37b.txt
14 VND_07a96b1f61097ccb54be14d6a47439b0.txt
15 AUSONIUS_00b2aea35fee06884a2ff0f287d4d9ed.txt
15 BSR_04a90791869e67e1b6035f64db2e9908.txt
15 EDH_00015f4538aeb30036195cd872a68b64.txt
15 EDR_00128fa0f31dffcd990c60b5fb94f53d.txt
15 SAZU_163afde4c25226708ef8bc4b86bd083e.txt
15 UBB_02e4500b926b9a7dba825f44f8f58fed.txt
15 UBB_02f0ace4e9b76570bad98ff1a8799067.txt
15 VND_006f52e9102a8d3be2fe5614f42ba989.txt
15 VND_03c6b06952c750899bb03d998e631860.txt
15 VND_06138bc5af6023646ede0e1f7c1eac75.txt
15 VND_08419be897405321542838d77f855226.txt
15 VND_091d584fced301b442654dd8c23b3fc9.txt
16 AUSONIUS_00f2089da4a4e34ad411ad3caf137ca4.txt
16 AUSONIUS_04fa6e995c27243454f3ee35e42b17da.txt
16 AUSONIUS_0a6a7aab92bd35ceb99406ae67d360df.txt
16 EDH_0008181729b91b853c976bf37001174e.txt
16 EDR_0003f91c1294aaf82ad2328482ee9624.txt
16 ELTE_0a4df63e10c9b81a35447ec3aa2f0c3a.txt
16 SAZU_089206de42f7d609d1f0adf1a59dfc15.txt
16 SAZU_1797c833c3ead68e7938c5fbb46c6f6b.txt
16 UAH_001c728a3046207c685f7f478f4bb41b.txt
16 UBB_012d753839979b642212a5d436823b64.txt
